0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:04:57 +0530] "GET /browser HTTP/1.1" 404 965
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:05:01 +0530] "GET /web HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:05:02 +0530] "GET /web/ HTTP/1.1" 200 2675
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:05:05 +0530] "GET /web/admin/first.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:05:05 +0530] "GET /web/user-login.html HTTP/1.1" 200 3625
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:05:11 +0530] "POST /web/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:05:11 +0530] "GET /web/admin/first.html HTTP/1.1" 200 2518
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:07:35 +0530] "GET /web/j_spring_security_logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:07:35 +0530] "GET /web/index.html HTTP/1.1" 200 2675
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:11:28 +0530] "GET / HTTP/1.1" 200 11217
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:11:28 +0530] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:11:28 +0530] "GET /tomcat.css HTTP/1.1" 200 5576
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:11:28 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:11:29 +0530] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:11:29 +0530] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:11:29 +0530] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:11:29 +0530] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:11:29 +0530] "GET /asf-logo.png HTTP/1.1" 200 17811
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:11:39 +0530] "GET /web/ HTTP/1.1" 200 2675
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:11:41 +0530] "GET /web/sec/moderation.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:11:42 +0530] "GET /web/user-login.html HTTP/1.1" 200 3625
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:11:55 +0530] "POST /web/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:12:17 +0530] "GET / HTTP/1.1" 200 11217
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:12:17 +0530] "GET /tomcat.css HTTP/1.1" 200 5576
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:12:17 +0530] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:12:17 +0530] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:12:17 +0530] "GET /asf-logo.png HTTP/1.1" 200 17811
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:12:18 +0530] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [20/Mar/2014:14:12:18 +0530] "GET /bg-button.png HTTP/1.1" 200 713
